ticker,market,sector,sub_sector,market_cap,is_etf
ENERGYDEV.NS,NSE,Others,Diversified,Small Cap,False
ENGINERSIN.BO,BSE,Others,Diversified,Small Cap,False
ENGINERSIN.NS,NSE,Others,Diversified,Small Cap,False
ENIL.BO,BSE,Others,Diversified,Small Cap,False
ENIL.NS,NSE,Others,Diversified,Small Cap,False
ENRIN.BO,BSE,Others,Diversified,Small Cap,False
ENRIN.NS,NSE,Others,Diversified,Small Cap,False
ENTERO.BO,BSE,Others,Diversified,Small Cap,False
ENTERO.NS,NSE,Others,Diversified,Small Cap,False
EPACK.BO,BSE,Others,Diversified,Small Cap,False
EPACK.NS,NSE,Others,Diversified,Small Cap,False
EPACKPEB.BO,BSE,Others,Diversified,Small Cap,False
EPACKPEB.NS,NSE,Others,Diversified,Small Cap,False
EPIGRAL.BO,BSE,Others,Diversified,Small Cap,False
EPIGRAL.NS,NSE,Others,Diversified,Small Cap,False
EPL.BO,BSE,Others,Diversified,Small Cap,False
EPL.NS,NSE,Others,Diversified,Small Cap,False
EQUIPPP.BO,BSE,Others,Diversified,Small Cap,False
EQUIPPP.NS,NSE,Others,Diversified,Small Cap,False
EQUITASBNK.BO,BSE,Others,Diversified,Small Cap,False
EQUITASBNK.NS,NSE,Others,Diversified,Small Cap,False
ERIS.BO,BSE,Others,Diversified,Small Cap,False
ERIS.NS,NSE,Others,Diversified,Small Cap,False
ESABINDIA.BO,BSE,Others,Diversified,Small Cap,False
ESABINDIA.NS,NSE,Others,Diversified,Small Cap,False
ESAFSFB.BO,BSE,Others,Diversified,Small Cap,False
ESAFSFB.NS,NSE,Others,Diversified,Small Cap,False
ESCORTS.BO,BSE,Automobile,Automobile,Small Cap,False
ESCORTS.NS,NSE,Automobile,Automobile,Small Cap,False
ESSARSHPNG.BO,BSE,Others,Diversified,Small Cap,False
ESSARSHPNG.NS,NSE,Others,Diversified,Small Cap,False
ESSENTIA.BO,BSE,Others,Diversified,Small Cap,False
ESSENTIA.NS,NSE,Others,Diversified,Small Cap,False
ESTER.BO,BSE,Others,Diversified,Small Cap,False
ESTER.NS,NSE,Others,Diversified,Small Cap,False
ETERNAL.BO,BSE,Others,Diversified,Small Cap,False
ETERNAL.NS,NSE,Others,Diversified,Small Cap,False
ETHOSLTD.BO,BSE,Others,Diversified,Small Cap,False
ETHOSLTD.NS,NSE,Others,Diversified,Small Cap,False
EUREKAFORB.BO,BSE,Others,Diversified,Small Cap,False
EUREKAFORB.NS,NSE,Others,Diversified,Small Cap,False
EUROBOND.BO,BSE,Others,Diversified,Small Cap,False
